,SiteCode,MonthYear,Location,SpeciesCode,SCTLD,TotalObservations,abundnace
94,SEFL06,19-Mar,JUP,DSTO,0,1,0.613496933
95,SEFL06,19-Mar,JUP,MCAV,4,67,41.10429448
96,SEFL06,19-Mar,JUP,PAST,0,5,3.067484663
97,SEFL06,19-Mar,JUP,PSTR,0,1,0.613496933
98,SEFL06,19-Mar,JUP,SBOU,0,1,0.613496933
99,SEFL06,19-Mar,JUP,SINT,0,2,1.226993865
100,SEFL04,19-May,JUP,AAGA,0,16,4.678362573
101,SEFL04,19-May,JUP,DSTO,0,1,0.292397661
102,SEFL04,19-May,JUP,HCUC,0,1,0.292397661
103,SEFL04,19-May,JUP,MCAV,0,98,28.65497076
104,SEFL04,19-May,JUP,MDEC,0,2,0.584795322
105,SEFL04,19-May,JUP,OFAV,0,1,0.292397661
106,SEFL04,19-May,JUP,PAST,0,18,5.263157895
107,SEFL04,19-May,JUP,PSTR,0,1,0.292397661
108,SEFL04,19-May,JUP,SINT,0,3,0.877192982
109,SEFL04,19-May,JUP,SSID,0,2,0.584795322
110,SEFL05,19-May,JUP,MCAV,0,14,4.093567251
111,SEFL05,19-May,JUP,ODIF,0,1,0.292397661
112,SEFL05,19-May,JUP,SINT,0,1,0.292397661
113,SEFL06,19-May,JUP,AAGA,0,10,2.923976608
114,SEFL06,19-May,JUP,ALAM,0,1,0.292397661
115,SEFL06,19-May,JUP,MCAV,0,141,41.22807018
116,SEFL06,19-May,JUP,PAST,0,27,7.894736842
117,SEFL06,19-May,JUP,SINT,0,1,0.292397661
118,SEFL06,19-May,JUP,SSID,1,3,0.877192982
