,SiteCode,MonthYear,Location,SpeciesCode,SCTLD,TotalObservations,abundance
71,SEFL12,19-Feb,WPB,MMEA,0,4,
72,SEFL12,19-Feb,WPB,PAST,0,13,
73,SEFL12,19-Feb,WPB,PCLI,0,1,
74,SEFL12,19-Feb,WPB,PSTR,0,4,
75,SEFL12,19-Feb,WPB,SINT,0,5,
76,SEFL12,19-Feb,WPB,SSID,0,7,
77,SEFL11,19-Mar,WPB,MAUR,0,4,
78,SEFL11,19-Mar,WPB,MCAV,1,32,
79,SEFL11,19-Mar,WPB,MDEC,0,1,
80,SEFL11,19-Mar,WPB,MMEA,0,1,
81,SEFL11,19-Mar,WPB,PAST,1,10,
82,SEFL11,19-Mar,WPB,PSTR,0,3,
83,SEFL11,19-Mar,WPB,SINT,0,3,
84,SEFL11,19-Mar,WPB,SRAD,0,1,
85,SEFL12,19-Mar,WPB,MCAV,1,20,
86,SEFL12,19-Mar,WPB,MMEA,0,3,
87,SEFL12,19-Mar,WPB,PAST,0,4,
88,SEFL12,19-Mar,WPB,PSTO,1,3,
89,SEFL12,19-Mar,WPB,PSTR,0,1,
90,SEFL12,19-Mar,WPB,SBOU,0,2,
91,SEFL12,19-Mar,WPB,SINT,0,2,
92,SEFL12,19-Mar,WPB,SRAD,0,5,
93,SEFL08,19-May,WPB,DSTO,0,1,
94,SEFL08,19-May,WPB,MCAV,0,42,
95,SEFL08,19-May,WPB,PAST,0,19,
96,SEFL08,19-May,WPB,SSID,0,1,
97,SEFL11,19-May,WPB,MALI,0,1,
98,SEFL11,19-May,WPB,MAUR,0,4,
99,SEFL11,19-May,WPB,MCAV,0,38,
100,SEFL11,19-May,WPB,MDEC,0,4,
101,SEFL11,19-May,WPB,OFAV,0,1,
102,SEFL11,19-May,WPB,PAST,0,17,
103,SEFL11,19-May,WPB,SINT,0,1,
104,SEFL11,19-May,WPB,SSID,0,2,
105,SEFL12,19-May,WPB,MCAV,0,18,
106,SEFL12,19-May,WPB,MMEA,0,1,
107,SEFL12,19-May,WPB,PAST,0,3,
108,SEFL12,19-May,WPB,PSTR,0,1,
109,SEFL12,19-May,WPB,SINT,0,1,
110,SEFL08,19-Jun,WPB,AAGA,0,1,
111,SEFL08,19-Jun,WPB,MALI,0,1,
112,SEFL08,19-Jun,WPB,MCAV,0,66,
113,SEFL08,19-Jun,WPB,MDEC,0,1,
114,SEFL08,19-Jun,WPB,PAST,0,40,
115,SEFL08,19-Jun,WPB,SRAD,0,1,
116,SEFL11,19-Jun,WPB,AAGA,0,1,
117,SEFL11,19-Jun,WPB,DSTO,0,1,
118,SEFL11,19-Jun,WPB,MCAV,1,40,
119,SEFL11,19-Jun,WPB,MDEC,0,2,
120,SEFL11,19-Jun,WPB,MMEA,0,1,
121,SEFL11,19-Jun,WPB,PAST,0,28,
122,SEFL11,19-Jun,WPB,SRAD,0,4,
123,SEFL12,19-Jun,WPB,DSTO,1,5,
124,SEFL12,19-Jun,WPB,MALI,0,1,
125,SEFL12,19-Jun,WPB,MCAV,0,17,
126,SEFL12,19-Jun,WPB,MMEA,0,4,
127,SEFL12,19-Jun,WPB,PAST,0,13,
128,SEFL12,19-Jun,WPB,PLAB,0,1,
129,SEFL12,19-Jun,WPB,SINT,0,10,
130,SEFL12,19-Jun,WPB,SRAD,0,3,
